customer_id,age,gender,state,product_category,season,previous_purchases,purchase_amount_usd,discount_applied,discount_pct,payment_method,shipping_type,review_rating,return_rate,promo_dependency_score,clv_proxy,value_tier,satisfaction_flag,loyal_behavioural,loyal_value_weighted,age_band,high_spend_flag,discount_only_buyer
CUST00014,57,Male,Texas,Clothing,Spring,18,201.51,1,20,Credit Card,Overnight,2.6,0.01,0.883,3627.18,High,0,0,0,55-64,1,0
CUST00015,41,Male,New York,Clothing,Summer,1,57.05,0,0,Debit Card,Standard,5.0,0.12,0.0,57.05,Low,1,0,0,35-44,0,0
CUST00016,20,Female,Washington,Footwear,Fall,8,256.36,0,0,Debit Card,Standard,3.0,0.62,0.0,2050.88,High,0,1,0,18-24,1,0
CUST00017,39,Male,Virginia,Outerwear,Fall,4,34.28,1,15,Credit Card,Free Shipping,5.0,0.2,0.675,137.12,Low,1,0,0,35-44,0,1
CUST00018,19,Female,Tennessee,Clothing,Spring,6,67.32,0,0,PayPal,Express,2.7,0.38,0.15,403.91999999999996,Mid,0,0,0,18-24,0,0
CUST00019,41,Male,Georgia,Clothing,Summer,4,99.53,1,5,PayPal,Standard,1.0,0.48,0.708,398.12,Mid,0,0,0,35-44,1,0
CUST00020,61,Male,California,Accessories,Winter,6,120.05,0,0,Credit Card,Standard,2.7,0.36,0.15,720.3,High,0,0,0,55-64,1,0
CUST00021,47,Male,Arizona,Outerwear,Winter,6,70.86,1,15,Credit Card,Free Shipping,1.3,0.45,0.825,425.15999999999997,Mid,0,0,0,45-54,0,0
CUST00022,55,Male,Florida,Accessories,Fall,1,90.81,0,0,Apple Pay,Free Shipping,1.0,0.52,0.15,90.81,Low,0,0,0,55-64,1,0
CUST00023,19,Male,Florida,Clothing,Spring,4,15.0,1,25,Credit Card,Free Shipping,3.3,0.27,0.792,60.0,Low,0,0,0,18-24,0,1
CUST00024,38,Male,California,Outerwear,Spring,6,52.54,1,30,Buy Now Pay Later,Express,1.8,0.33,1.0,315.24,Mid,0,0,0,35-44,0,0
CUST00025,50,Female,Texas,Footwear,Summer,7,73.54,1,10,PayPal,Standard,2.8,0.21,0.767,514.7800000000001,High,0,0,0,45-54,0,0
CUST00026,29,Male,Ohio,Clothing,Fall,2,100.71,0,0,Credit Card,Standard,5.0,0.29,0.0,201.42,Low,1,0,0,25-34,1,0
CUST00027,39,Female,Florida,Outerwear,Winter,1,62.55,1,15,Credit Card,Standard,1.9,0.09,0.825,62.55,Low,0,0,0,35-44,0,1
CUST00028,61,Female,New York,Accessories,Winter,15,148.64,0,0,Credit Card,Free Shipping,3.0,0.07,0.0,2229.6,High,0,1,0,55-64,1,0
CUST00029,42,Male,New York,Clothing,Summer,7,151.09,0,0,Credit Card,Standard,3.8,0.23,0.0,1057.63,High,0,1,0,35-44,1,0
CUST00030,44,Male,Virginia,Accessories,Summer,3,36.76,0,0,Credit Card,Express,3.9,0.52,0.0,110.28,Low,0,0,0,35-44,0,0
CUST00031,59,Non-binary,Georgia,Footwear,Spring,1,112.9,1,15,PayPal,Express,4.8,0.01,0.675,112.9,Low,1,0,0,55-64,1,1
CUST00032,45,Female,Texas,Footwear,Spring,6,106.82,0,0,Credit Card,Express,5.0,0.24,0.0,640.92,High,1,0,1,45-54,1,0
CUST00033,33,Female,California,Clothing,Summer,9,139.85,0,0,Debit Card,Free Shipping,4.1,0.04,0.0,1258.6499999999999,High,1,1,1,25-34,1,0
CUST00034,32,Male,Texas,Outerwear,Spring,5,137.77,1,15,Debit Card,Standard,5.0,0.42,0.675,688.85,High,1,0,0,25-34,1,0
CUST00035,64,Female,Massachusetts,Clothing,Spring,7,82.74,0,0,Credit Card,Free Shipping,1.2,0.19,0.15,579.18,High,0,1,0,55-64,0,0
CUST00036,61,Female,Washington,Footwear,Winter,7,46.76,1,15,Credit Card,Standard,4.1,0.1,0.675,327.32,Mid,1,0,0,55-64,0,0
CUST00037,20,Female,Illinois,Footwear,Fall,25,126.89,0,0,Credit Card,Standard,3.0,0.01,0.0,3172.25,High,0,1,0,18-24,1,0
CUST00038,54,Non-binary,Washington,Clothing,Summer,12,205.97,0,0,Credit Card,Express,4.0,0.04,0.0,2471.64,High,1,1,1,45-54,1,0
CUST00039,24,Male,New York,Clothing,Winter,23,138.46,1,20,PayPal,Standard,2.9,0.08,0.883,3184.5800000000004,High,0,0,0,18-24,1,0
CUST00040,38,Male,Ohio,Outerwear,Spring,3,66.09,0,0,Credit Card,Free Shipping,3.9,0.25,0.0,198.27,Low,0,0,0,35-44,0,0
CUST00041,26,Female,Illinois,Accessories,Summer,6,97.45,1,10,PayPal,Express,4.0,0.19,0.617,584.7,High,1,0,1,25-34,1,0
CUST00042,56,Female,California,Footwear,Summer,12,175.78,1,5,Debit Card,Standard,5.0,0.07,0.558,2109.36,High,1,0,1,55-64,1,0
CUST00043,35,Male,California,Accessories,Winter,2,112.75,1,15,Debit Card,Standard,1.1,0.11,0.825,225.5,Mid,0,0,0,35-44,1,0
CUST00044,21,Male,Illinois,Footwear,Winter,3,96.05,1,15,Debit Card,Express,4.1,0.07,0.675,288.15,Mid,1,0,0,18-24,1,0
CUST00045,42,Male,Tennessee,Accessories,Fall,7,19.0,1,5,PayPal,Free Shipping,4.8,0.11,0.558,133.0,Low,1,0,0,35-44,0,1
CUST00046,31,Male,New York,Clothing,Summer,4,50.48,1,15,Credit Card,Express,5.0,0.38,0.675,201.92,Low,1,0,0,25-34,0,1
CUST00047,26,Female,Virginia,Clothing,Winter,2,96.46,1,25,Credit Card,Express,3.9,0.14,0.792,192.92,Low,0,0,0,25-34,1,1
CUST00048,43,Female,Georgia,Outerwear,Spring,5,76.94,0,0,Debit Card,Free Shipping,3.0,0.32,0.0,384.7,Mid,0,0,0,35-44,0,0
CUST00049,19,Male,Texas,Accessories,Summer,26,193.22,0,0,Credit Card,Express,3.1,0.16,0.0,5023.72,High,0,1,0,18-24,1,0
CUST00050,37,Male,California,Clothing,Fall,6,107.37,1,20,Debit Card,Standard,1.0,0.55,0.883,644.22,High,0,0,0,35-44,1,0
CUST00051,45,Male,California,Outerwear,Fall,4,57.82,1,10,PayPal,Express,4.0,0.55,0.617,231.28,Mid,1,0,0,45-54,0,0
CUST00052,64,Male,Georgia,Footwear,Fall,7,20.0,0,0,Debit Card,Express,3.0,0.21,0.0,140.0,Low,0,1,0,55-64,0,0
CUST00053,24,Female,Texas,Clothing,Winter,13,199.89,0,0,PayPal,Overnight,4.2,0.06,0.0,2598.5699999999997,High,1,1,1,18-24,1,0
CUST00054,61,Non-binary,New York,Outerwear,Summer,1,69.7,0,0,Debit Card,Express,1.9,0.09,0.15,69.7,Low,0,0,0,55-64,0,0
CUST00055,25,Female,Illinois,Footwear,Fall,5,75.67,1,10,PayPal,Free Shipping,2.0,0.12,0.767,378.35,Mid,0,0,0,25-34,0,0
CUST00056,64,Male,Georgia,Clothing,Winter,4,74.28,1,5,PayPal,Standard,4.0,0.19,0.558,297.12,Mid,1,0,0,55-64,0,0
CUST00057,52,Female,California,Clothing,Summer,3,61.22,1,10,Debit Card,Free Shipping,1.0,0.49,0.767,183.66,Low,0,0,0,45-54,0,1
CUST00058,31,Female,Florida,Footwear,Winter,1,52.05,1,5,PayPal,Express,1.9,0.33,0.708,52.05,Low,0,0,0,25-34,0,1
CUST00059,34,Female,Florida,Footwear,Fall,25,164.17,1,10,Apple Pay,Overnight,2.9,0.01,0.767,4104.25,High,0,0,0,25-34,1,0
CUST00060,53,Male,Illinois,Clothing,Summer,6,51.54,0,0,Debit Card,Standard,5.0,0.61,0.0,309.24,Mid,1,0,0,45-54,0,0
CUST00061,57,Male,North Carolina,Clothing,Fall,7,113.04,1,15,Debit Card,Standard,5.0,0.18,0.675,791.2800000000001,High,1,0,1,55-64,1,0
CUST00062,21,Male,Texas,Clothing,Winter,6,127.55,0,0,PayPal,Free Shipping,2.0,0.13,0.15,765.3,High,0,0,0,18-24,1,0
CUST00063,19,Male,Ohio,Accessories,Winter,5,104.36,0,0,Debit Card,Overnight,3.1,0.26,0.0,521.8,High,0,0,0,18-24,1,0
CUST00064,23,Male,Colorado,Clothing,Summer,7,103.24,0,0,Credit Card,Standard,5.0,0.47,0.0,722.68,High,1,1,0,18-24,1,0
CUST00065,59,Male,Illinois,Clothing,Winter,4,22.97,1,10,Apple Pay,Express,1.0,0.46,0.767,91.88,Low,0,0,0,55-64,0,1
CUST00066,21,Female,Colorado,Footwear,Spring,18,186.85,0,0,Credit Card,Standard,4.0,0.04,0.0,3363.2999999999997,High,1,1,1,18-24,1,0
CUST00067,46,Female,Florida,Footwear,Spring,7,55.42,1,20,PayPal,Free Shipping,4.2,0.5,0.733,387.94,Mid,1,0,0,45-54,0,0
CUST00068,35,Male,California,Accessories,Fall,6,125.65,1,5,PayPal,Free Shipping,4.0,0.29,0.558,753.9000000000001,High,1,0,0,35-44,1,0
CUST00069,43,Male,Arizona,Clothing,Summer,25,147.45,1,10,Buy Now Pay Later,Standard,4.0,0.06,0.617,3686.2499999999995,High,1,0,1,35-44,1,0
CUST00070,61,Female,Illinois,Accessories,Summer,7,76.54,0,0,Credit Card,Free Shipping,4.0,0.47,0.0,535.7800000000001,High,1,1,0,55-64,0,0
CUST00071,51,Female,Arizona,Clothing,Summer,12,187.85,0,0,Debit Card,Free Shipping,2.8,0.09,0.15,2254.2,High,0,1,0,45-54,1,0
CUST00072,27,Female,New York,Outerwear,Fall,3,74.48,1,20,Debit Card,Standard,2.2,0.16,0.883,223.44,Mid,0,0,0,25-34,0,0
CUST00073,53,Non-binary,Massachusetts,Footwear,Spring,2,42.28,1,5,Credit Card,Overnight,2.9,0.22,0.708,84.56,Low,0,0,0,45-54,0,1
CUST00074,31,Female,Washington,Clothing,Summer,5,64.02,0,0,Credit Card,Express,3.3,0.43,0.0,320.09999999999997,Mid,0,0,0,25-34,0,0
CUST00075,48,Non-binary,California,Clothing,Summer,3,69.86,1,10,Debit Card,Overnight,2.0,0.22,0.767,209.57999999999998,Low,0,0,0,45-54,0,1
CUST00076,32,Male,Florida,Accessories,Spring,14,183.38,0,0,Debit Card,Standard,4.3,0.1,0.0,2567.3199999999997,High,1,1,1,25-34,1,0
CUST00077,25,Male,Georgia,Footwear,Summer,6,90.67,1,10,Credit Card,Standard,4.0,0.74,0.617,544.02,High,1,0,0,25-34,1,0
CUST00078,31,Male,Ohio,Accessories,Fall,3,111.09,1,20,PayPal,Express,1.0,0.41,0.883,333.27,Mid,0,0,0,25-34,1,0
CUST00079,40,Male,Illinois,Footwear,Winter,6,54.34,1,5,PayPal,Standard,2.2,0.21,0.708,326.04,Mid,0,0,0,35-44,0,0
CUST00080,57,Male,Massachusetts,Footwear,Summer,7,105.78,1,15,PayPal,Free Shipping,1.9,0.08,0.825,740.46,High,0,0,0,55-64,1,0
CUST00081,38,Female,Texas,Accessories,Summer,7,84.09,1,25,Apple Pay,Standard,2.3,0.1,0.942,588.63,High,0,0,0,35-44,0,0
CUST00082,33,Female,Florida,Outerwear,Spring,19,119.5,0,0,Debit Card,Express,3.1,0.12,0.0,2270.5,High,0,1,0,25-34,1,0
CUST00083,62,Female,Massachusetts,Footwear,Fall,6,92.93,1,25,Buy Now Pay Later,Free Shipping,5.0,0.27,0.792,557.58,High,1,0,0,55-64,1,0
CUST00084,35,Male,Massachusetts,Footwear,Summer,1,85.51,1,25,Apple Pay,Express,1.8,0.3,0.942,85.51,Low,0,0,0,35-44,1,1
CUST00085,64,Female,Colorado,Outerwear,Summer,2,28.41,0,0,Credit Card,Express,1.2,0.2,0.15,56.82,Low,0,0,0,55-64,0,0
CUST00086,41,Female,Virginia,Clothing,Fall,24,143.61,1,15,Credit Card,Free Shipping,3.9,0.1,0.675,3446.6400000000003,High,0,0,0,35-44,1,0
CUST00087,43,Male,California,Clothing,Fall,5,95.29,1,20,Debit Card,Free Shipping,1.0,0.22,0.883,476.45000000000005,Mid,0,0,0,35-44,1,0
CUST00088,42,Female,Virginia,Outerwear,Summer,27,153.36,1,25,Debit Card,Standard,3.2,0.34,0.792,4140.72,High,0,0,0,35-44,1,0
CUST00089,62,Male,New York,Footwear,Summer,2,121.38,0,0,Debit Card,Express,2.0,0.13,0.15,242.76,Mid,0,0,0,55-64,1,0
CUST00090,58,Male,Texas,Outerwear,Fall,5,92.14,0,0,Debit Card,Free Shipping,5.0,0.11,0.0,460.7,Mid,1,0,0,55-64,1,0
CUST00091,46,Female,Texas,Clothing,Summer,11,211.87,0,0,PayPal,Standard,5.0,0.12,0.0,2330.57,High,1,1,1,45-54,1,0
CUST00092,32,Male,Florida,Footwear,Summer,10,174.89,0,0,Debit Card,Standard,5.0,0.1,0.0,1748.8999999999999,High,1,1,1,25-34,1,0
CUST00093,62,Male,Texas,Clothing,Fall,5,23.27,1,15,Credit Card,Standard,5.0,0.24,0.675,116.35,Low,1,0,0,55-64,0,1
CUST00094,18,Female,New York,Accessories,Spring,5,82.77,1,20,Apple Pay,Standard,5.0,0.15,0.733,413.84999999999997,Mid,1,0,0,18-24,0,0
CUST00095,42,Female,California,Clothing,Winter,19,230.65,0,0,Credit Card,Overnight,4.9,0.03,0.0,4382.35,High,1,1,1,35-44,1,0
CUST00096,24,Male,New York,Clothing,Summer,2,80.77,1,5,Buy Now Pay Later,Free Shipping,5.0,0.22,0.558,161.54,Low,1,0,0,18-24,0,1
CUST00097,26,Male,Washington,Clothing,Fall,6,80.98,0,0,Credit Card,Free Shipping,2.0,0.07,0.15,485.88,Mid,0,0,0,25-34,0,0
CUST00098,41,Male,Florida,Footwear,Summer,5,111.6,1,10,Buy Now Pay Later,Free Shipping,3.4,0.24,0.617,558.0,High,0,0,0,35-44,1,0
CUST00099,18,Female,New York,Clothing,Fall,18,146.21,0,0,Credit Card,Standard,3.1,0.06,0.0,2631.78,High,0,1,0,18-24,1,0
CUST00100,61,Male,Georgia,Clothing,Summer,14,187.73,0,0,Credit Card,Standard,3.3,0.0,0.0,2628.22,High,0,1,0,55-64,1,0
CUST00101,25,Male,Massachusetts,Clothing,Fall,3,98.21,1,5,Credit Card,Free Shipping,3.0,0.21,0.558,294.63,Mid,0,0,0,25-34,1,0
CUST00102,41,Female,Georgia,Clothing,Spring,4,84.94,0,0,PayPal,Standard,3.9,0.26,0.0,339.76,Mid,0,0,0,35-44,0,0
CUST00103,28,Female,New York,Outerwear,Summer,1,48.29,1,10,Apple Pay,Standard,1.1,0.25,0.767,48.29,Low,0,0,0,25-34,0,1
CUST00104,34,Male,Georgia,Clothing,Fall,7,101.09,1,20,Debit Card,Free Shipping,5.0,0.12,0.733,707.63,High,1,0,1,25-34,1,0
CUST00105,25,Female,Texas,Clothing,Fall,2,99.0,0,0,Buy Now Pay Later,Express,3.1,0.08,0.0,198.0,Low,0,0,0,25-34,1,0
CUST00106,52,Female,California,Footwear,Spring,24,86.51,0,0,Debit Card,Standard,5.0,0.1,0.0,2076.2400000000002,High,1,1,1,45-54,1,0
CUST00107,52,Male,New York,Footwear,Summer,2,87.31,1,25,PayPal,Free Shipping,1.9,0.29,0.942,174.62,Low,0,0,0,45-54,1,1
CUST00108,50,Male,Ohio,Footwear,Spring,2,99.17,1,15,Apple Pay,Free Shipping,1.8,0.12,0.825,198.34,Low,0,0,0,45-54,1,1
CUST00109,22,Female,Texas,Footwear,Winter,5,79.24,0,0,Credit Card,Standard,2.0,0.24,0.15,396.2,Mid,0,0,0,18-24,0,0
CUST00110,59,Male,California,Outerwear,Winter,4,103.5,1,15,Debit Card,Free Shipping,3.0,0.16,0.675,414.0,Mid,0,0,0,55-64,1,0
CUST00111,56,Female,California,Clothing,Summer,3,71.38,1,10,Apple Pay,Standard,1.6,0.52,0.767,214.14,Low,0,0,0,55-64,0,1
CUST00112,58,Male,Virginia,Outerwear,Summer,5,38.57,1,10,Apple Pay,Express,4.9,0.12,0.617,192.85,Low,1,0,0,55-64,0,1
CUST00113,45,Male,Arizona,Footwear,Summer,3,102.44,0,0,Buy Now Pay Later,Free Shipping,5.0,0.27,0.0,307.32,Mid,1,0,0,45-54,1,0
CUST00114,24,Male,Texas,Accessories,Spring,6,112.57,1,15,Apple Pay,Free Shipping,4.9,0.31,0.675,675.42,High,1,0,0,18-24,1,0
CUST00115,26,Male,Illinois,Footwear,Fall,6,52.36,1,15,Credit Card,Standard,3.5,0.14,0.675,314.15999999999997,Mid,0,0,0,25-34,0,0
CUST00116,25,Male,Illinois,Footwear,Summer,4,23.73,1,20,Apple Pay,Standard,5.0,0.04,0.733,94.92,Low,1,0,0,25-34,0,1
CUST00117,29,Male,Arizona,Clothing,Summer,5,76.01,1,15,Debit Card,Standard,1.8,0.14,0.825,380.05,Mid,0,0,0,25-34,0,0
CUST00118,51,Female,Texas,Clothing,Spring,3,48.36,0,0,Buy Now Pay Later,Express,3.9,0.51,0.0,145.07999999999998,Low,0,0,0,45-54,0,0
CUST00119,50,Non-binary,Virginia,Outerwear,Spring,7,52.1,1,20,Debit Card,Standard,4.2,0.25,0.733,364.7,Mid,1,0,0,45-54,0,0
CUST00120,40,Female,New York,Accessories,Winter,6,88.31,0,0,Debit Card,Express,3.9,0.11,0.0,529.86,High,0,0,0,35-44,1,0
CUST00121,41,Female,Colorado,Clothing,Winter,5,15.0,1,25,Debit Card,Standard,3.6,0.18,0.792,75.0,Low,0,0,0,35-44,0,1
CUST00122,54,Male,California,Footwear,Spring,2,51.75,1,25,Credit Card,Express,3.0,0.23,0.792,103.5,Low,0,0,0,45-54,0,1
CUST00123,52,Non-binary,New York,Accessories,Fall,6,71.57,0,0,Credit Card,Standard,5.0,0.42,0.0,429.41999999999996,Mid,1,0,0,45-54,0,0
CUST00124,61,Male,New York,Clothing,Spring,1,149.73,0,0,Apple Pay,Free Shipping,2.9,0.25,0.15,149.73,Low,0,0,0,55-64,1,0
CUST00125,57,Female,Illinois,Footwear,Winter,3,79.53,0,0,Apple Pay,Standard,1.0,0.39,0.15,238.59,Mid,0,0,0,55-64,0,0
CUST00126,39,Non-binary,California,Footwear,Spring,7,159.62,0,0,Credit Card,Standard,2.8,0.13,0.15,1117.3400000000001,High,0,1,0,35-44,1,0
CUST00127,44,Female,Ohio,Clothing,Fall,14,111.07,1,20,PayPal,Free Shipping,4.8,0.05,0.733,1554.98,High,1,0,1,35-44,1,0
CUST00128,52,Non-binary,Texas,Outerwear,Fall,4,100.69,0,0,PayPal,Overnight,4.9,0.27,0.0,402.76,Mid,1,0,0,45-54,1,0
CUST00129,18,Female,Colorado,Clothing,Spring,3,78.02,1,20,Debit Card,Standard,5.0,0.21,0.733,234.06,Mid,1,0,0,18-24,0,0
CUST00130,52,Male,Ohio,Accessories,Fall,10,129.45,0,0,Credit Card,Standard,5.0,0.1,0.0,1294.5,High,1,1,1,45-54,1,0
CUST00131,54,Male,Washington,Clothing,Winter,10,166.16,0,0,Apple Pay,Overnight,5.0,0.06,0.0,1661.6,High,1,1,1,45-54,1,0
CUST00132,64,Female,Georgia,Footwear,Spring,17,166.17,0,0,PayPal,Standard,4.3,0.09,0.0,2824.89,High,1,1,1,55-64,1,0
CUST00133,31,Male,Arizona,Clothing,Fall,6,82.6,1,15,Debit Card,Free Shipping,1.2,0.16,0.825,495.59999999999997,High,0,0,0,25-34,0,0
CUST00134,20,Female,New York,Clothing,Summer,3,70.67,1,20,PayPal,Express,1.0,0.21,0.883,212.01,Low,0,0,0,18-24,0,1
CUST00135,18,Non-binary,Ohio,Footwear,Summer,4,69.26,1,25,Credit Card,Standard,2.9,0.04,0.942,277.04,Mid,0,0,0,18-24,0,0
CUST00136,22,Male,New York,Clothing,Fall,1,145.97,0,0,Debit Card,Express,2.2,0.18,0.15,145.97,Low,0,0,0,18-24,1,0
CUST00137,43,Female,Washington,Footwear,Winter,6,73.85,1,5,Credit Card,Overnight,1.0,0.58,0.708,443.09999999999997,Mid,0,0,0,35-44,0,0
CUST00138,31,Female,Georgia,Accessories,Summer,1,45.34,1,5,Credit Card,Free Shipping,1.7,0.46,0.708,45.34,Low,0,0,0,25-34,0,1
CUST00139,56,Female,New York,Outerwear,Winter,4,65.38,0,0,PayPal,Standard,2.9,0.5,0.15,261.52,Mid,0,0,0,55-64,0,0
CUST00140,44,Non-binary,New York,Accessories,Spring,3,85.68,1,25,Apple Pay,Express,4.5,0.09,0.792,257.04,Mid,1,0,0,35-44,1,0
CUST00141,26,Female,Florida,Clothing,Winter,3,80.71,1,15,Debit Card,Standard,1.9,0.17,0.825,242.13,Mid,0,0,0,25-34,0,0
CUST00142,32,Non-binary,North Carolina,Clothing,Spring,6,60.63,1,30,Credit Card,Express,1.0,0.15,1.0,363.78000000000003,Mid,0,0,0,25-34,0,0
CUST00143,32,Female,Massachusetts,Outerwear,Spring,1,33.24,1,10,PayPal,Free Shipping,1.9,0.22,0.767,33.24,Low,0,0,0,25-34,0,1
CUST00144,43,Male,Illinois,Footwear,Winter,26,104.14,1,5,Apple Pay,Standard,4.2,0.07,0.558,2707.64,High,1,0,1,35-44,1,0
CUST00145,59,Male,Arizona,Clothing,Summer,7,63.59,0,0,PayPal,Free Shipping,4.7,0.06,0.0,445.13,Mid,1,1,0,55-64,0,0
CUST00146,30,Female,Massachusetts,Footwear,Spring,2,97.62,0,0,Apple Pay,Express,1.0,0.34,0.15,195.24,Low,0,0,0,25-34,1,0
CUST00147,49,Male,California,Accessories,Winter,3,73.34,1,10,Debit Card,Free Shipping,1.8,0.27,0.767,220.02,Mid,0,0,0,45-54,0,0
CUST00148,56,Female,Texas,Outerwear,Winter,7,23.53,1,20,PayPal,Free Shipping,2.2,0.08,0.883,164.71,Low,0,0,0,55-64,0,1
CUST00149,49,Female,Colorado,Outerwear,Fall,13,198.23,0,0,Credit Card,Standard,5.0,0.14,0.0,2576.99,High,1,1,1,45-54,1,0
CUST00150,21,Male,North Carolina,Outerwear,Winter,5,34.45,1,20,Credit Card,Standard,1.1,0.41,0.883,172.25,Low,0,0,0,18-24,0,1
CUST00151,47,Female,Virginia,Outerwear,Summer,1,96.78,0,0,Debit Card,Standard,2.1,0.1,0.15,96.78,Low,0,0,0,45-54,1,0
CUST00152,54,Female,Florida,Outerwear,Fall,1,66.66,0,0,Debit Card,Standard,2.8,0.15,0.15,66.66,Low,0,0,0,45-54,0,0
CUST00153,40,Female,California,Clothing,Fall,7,62.63,1,20,Buy Now Pay Later,Express,4.0,0.74,0.733,438.41,Mid,1,0,0,35-44,0,0
CUST00154,56,Male,Florida,Footwear,Winter,2,93.36,1,15,Apple Pay,Express,1.0,0.4,0.825,186.72,Low,0,0,0,55-64,1,1
CUST00155,62,Male,Texas,Footwear,Winter,2,36.75,1,10,Credit Card,Free Shipping,5.0,0.06,0.617,73.5,Low,1,0,0,55-64,0,1
CUST00156,32,Male,New York,Outerwear,Spring,2,135.41,1,30,Credit Card,Express,1.0,0.29,1.0,270.82,Mid,0,0,0,25-34,1,0
CUST00157,60,Female,Ohio,Accessories,Summer,1,52.63,1,5,Debit Card,Free Shipping,2.9,0.12,0.708,52.63,Low,0,0,0,55-64,0,1
CUST00158,46,Male,California,Clothing,Fall,5,98.49,1,10,Credit Card,Free Shipping,3.0,0.06,0.617,492.45,Mid,0,0,0,45-54,1,0
CUST00159,53,Female,North Carolina,Accessories,Winter,29,210.99,0,0,PayPal,Free Shipping,3.1,0.05,0.0,6118.71,High,0,1,0,45-54,1,0
CUST00160,30,Male,Florida,Footwear,Summer,4,96.92,1,30,Apple Pay,Standard,5.0,0.15,0.85,387.68,Mid,1,0,0,25-34,1,0
CUST00161,49,Male,Washington,Clothing,Spring,1,46.2,1,25,Buy Now Pay Later,Express,5.0,0.1,0.792,46.2,Low,1,0,0,45-54,0,1
CUST00162,24,Female,California,Clothing,Spring,4,41.17,1,30,PayPal,Standard,4.5,0.18,0.85,164.68,Low,1,0,0,18-24,0,1
CUST00163,39,Female,New York,Accessories,Summer,3,98.72,1,20,Apple Pay,Standard,3.0,0.22,0.733,296.15999999999997,Mid,0,0,0,35-44,1,0
CUST00164,45,Male,California,Clothing,Spring,2,104.06,0,0,Debit Card,Standard,5.0,0.39,0.0,208.12,Low,1,0,0,45-54,1,0
CUST00165,19,Male,Tennessee,Clothing,Spring,24,163.64,1,25,Credit Card,Free Shipping,3.1,0.04,0.792,3927.3599999999997,High,0,0,0,18-24,1,0
CUST00166,59,Male,Ohio,Clothing,Summer,6,133.91,0,0,Debit Card,Express,4.0,0.51,0.0,803.46,High,1,0,0,55-64,1,0
CUST00167,62,Female,Florida,Outerwear,Fall,4,79.51,1,10,Debit Card,Express,4.0,0.09,0.617,318.04,Mid,1,0,0,55-64,0,0
CUST00168,23,Female,Texas,Footwear,Fall,20,197.61,0,0,PayPal,Free Shipping,3.1,0.03,0.0,3952.2000000000003,High,0,1,0,18-24,1,0
CUST00169,45,Male,Tennessee,Clothing,Fall,2,118.37,1,10,Credit Card,Standard,5.0,0.13,0.617,236.74,Mid,1,0,0,45-54,1,0
CUST00170,45,Male,New York,Footwear,Summer,2,91.17,0,0,Debit Card,Express,1.0,0.13,0.15,182.34,Low,0,0,0,45-54,1,0
CUST00171,61,Male,Texas,Footwear,Spring,5,44.55,1,10,Debit Card,Free Shipping,2.1,0.36,0.767,222.75,Mid,0,0,0,55-64,0,0
CUST00172,61,Female,Washington,Clothing,Summer,4,48.2,1,10,Buy Now Pay Later,Standard,2.7,0.21,0.767,192.8,Low,0,0,0,55-64,0,1
